,Unnamed: 0,Date,Time Taken,Condition,Review,Rating,adr,label
0,0,,,Lamictal (lamotrigine) for Bipolar Disorder:,ive tried almost all meds for depressionbipolar but no success i started lamictal 25mg about 4 weeks ago and im currently on 50mg per day it has really lifted my depression its the best medication i have ever taken for bipolar i have more energy less irritable less appetite and increased sexual desire however it has some side effects insomnia nausea mild constipation and pains on my sides which are all gradually fading away i also take 40 mg prozac per day lamictal is a wonder drug i havent reached the therapeutic level im titrating slowly i felt a great need to do this review to help others because other people reviews have helped me in the past good luck and god bless,8.0,"constipation, depression, insomnia, nausea",1
1,1,,,Lamictal (lamotrigine) for Bipolar Disorder:,i have been on this drug lamictal total time of 14 months ive been able to drop my bipolar meds down from 4 different kinds to just lamictal only for four months now my experience is one for the books diagnosed with bipolar i had tried so many different kinds of medications my medicine cabinet looked like a freaking pharmacy now i am down to one drug a day that drug is lamictal literally my saving grace all the psychiatrist i saw all the different medication combinations i had tried only scratched the surface my newest psychiatrist suggested this drug i was skeptical because none of the other drs i saw suggested it and i didnt know it existed this drug is a miracle it has changed how i live how i care for my kids how i see the world the best part is im me again,9.0,,0
2,2,,,Lamictal (lamotrigine) for Bipolar Disorder:,male 33 years old ive been on lamictal for 4 months after diagnosed with cyclothymia started with 50 mg now 100 mg once a day mood swings all my life often irritable easily became angry spent got into debts massively never worked at one place for more than a few months lucky to find the right psychiatrist who put me on lamictal in my country russia not many docs are familiar with bipolar spectrum disorders treatment and even less prescribe lamictal after taking the first 50 mg everything changed immediately i became calmer more stable feel much more comfortable in public places and in communication with people more confident more present more relaxed before i had a feeling that everyone around is constantly looking at me and even judging couldnt talk by phone if someone is near me although my highs are still a bit too high my lows are 80 better surely im going to continue taking lamictal,10.0,mood swings,1
3,3,,,Lamictal (lamotrigine) for Bipolar Disorder:,i had been empty depressed doesnt justify the way i was living my life no matter how hard i tried what medication i took i couldnt mom house a mess relationships failing job on the line alcohol being my go to i started lamictal about 2 months ago and havent had one day where i felt like i couldnt make it through i got a promotion my laundry is done at all times dishes washed cooking dinner on the regular i can get out of bed on sundays which was a routine for years lamictal was my miracle for bipolar depression easy to say without it i dont know if i would be here now i want to be here i want to succeed self develop started reading self help books listening to motivational podcasts if you feel like there is nothing that will help you i highly recommend taking a chance on lamictal after all when you have bipolar depression what do you really have to lose do it,10.0,depression,1
4,4,Kate,"June 4, 2020",For Anxiety:,i never review meds but i feel like im doing a disservice but not sharing so please read i was prescribed lamotrigine at my lowest point i was struggling with anxiety panic attacks depression and pmmd i was facing constant intrusive thoughts about death and sadness i came home from the doctors after being prescribed and read these reviews and bawled my eyes out i was so afraid of taking this medication yet i needed something to help asap i have now been taking lamotrigine for 3 months and my anxiety is much lower my emotions are not out of control before my period and i have more peace of mind i dont have any bad side affects my biggest recommendation is to start with a low dose 50mg and after two weeks 100mg i feel like taking more than this ups your chance of having a bad reaction we are all different so there is no guarantee just know that this website is usual used if you have had a relatively bad experience so take that into consideration,10.0,"anxiety, death, depression",1
5,5,,,Lamictal (lamotrigine) for Bipolar Disorder:,ive taken this drug lamictal for about 7 weeks now and guess what my life has turned so positive i am a way happier and stable human i no longer lash out or get mad over any little thing that would trigger a manic stage ive been able to deal with stress without freaking out literally cant believe it i highly recommend this to anyone with bipolar good luck and god bless,10.0,stress,1
6,6,,,For Borderline Personality Disorder:,i am a person that never writes reviews however if i can help just one person from feeling the way i used to feelits beyond worth it my entire life i felt different as if i was experiencing the world entirely different than most everyone elsefunny thing is i actually was after trying numerous medications for adhd and severe depressionanxiety i was finally given the option of lamictil as a last resort and let me tell you after being on it for two months i havent been this happy since i was a child to everyone suffering from bpd or bipolar disorder this stuff works please give it a try and you will feel the transformation after a month of two there is help and i pray that each and everyone of you likeminded people get the aid you need thanks to god lamictil and my doctor for setting me free of the misery that was my life god bless you all much love,10.0,bipolar disorder,1
7,7,CJ,"September 25, 2020",Lamictal (lamotrigine) for Bipolar Disorder:,i was put on lamictal for borderline personality disorderptsdanxietymajor depressive the only noticeable side effects for me were slight irritability and becoming more easily frustrated than usual in the beginning along with drowsiness after taking the nightly dose i can honestly say that after working out the kinks this medication has changed my life i have more energy i sleep better and i am able to let go of less than ideal situations instead of being consumed by them i no longer default to self harm and suicidal ideation and my thoughts are much less hyperbolic and more awarerooted in reality i cannot remember the last time i was this stable and happy i have not experienced any rashes or physical changes other than my appetite slightly decreasing and losing a bit of weight 150mg is definitely the sweet spot for me and i do not intend to increase my dose at this time i would highly recommend this medication especially if you are like me and have exhausted every other option,10.0,"drowsiness, irritability, suicidal ideation",1
8,8,,,Lamictal (lamotrigine) for Bipolar Disorder:,lamictal has completely changed my life i take it in conjunction with a low dose of abilify and the combination has kept me from having manicdepressive for about a year straight now something i never thought possible at first i was just on abilify a pretty high dose and while it kept me free from hypomania it didnt really do much for the depression lamictal on the other hand has worked wonders in that respect very little side effects i wake up nauseous but it fades after about an hour and its definitely worth it other than that no weight gain and i believe it may have actually increased my previously nonexistent sex drive the best part of lamictal is that i dont feel flat or subdued im still having the normal ups and downs of life but for the first time i feel pretty confident that theyre not bipolar related its really been a miracle drug for me,10.0,"depression, hypomania",1
9,9,,,Lamictal (lamotrigine) for Bipolar Disorder:,ok so ive been on several different antidepressants and antipsychotics to no avail when my doctor suggested lamictal i thought ok here we go again well i just want to say ive been on 25mg for 2 weeks and just upped the dose to 50mg 2 days ago i honestly feel so much better she said it could take weeks but it literally took about 5 days to notice a difference my racing thoughts and deep depression are getting better daily its such a relief i finally have some hope i dont want to die every second of the day the only other medication i take is ativan as needed dont give up i cant believe this is actually working,7.0,depression,1
10,10,,,Lamictal (lamotrigine) for Bipolar Disorder:,have successfully managed my bi polar since 1999 with lamictal on 400 mgday for last 10 years the only issues sometimes get dizzy on step ladder i avoid blurry vision late night a little flat increased sex drive i went undiagnosed for 35 years this drug has saved my life ill take a little flat over crying for days at a time or 5 days straight no sleep cooking and repainting and redecorating 3 rooms in the house in those 5 days that including diy furniture and window treatments and yes spending i didnt have i have several businesses cash in bank bills paid fairly reg sleep lamictal saved my life after my divorce 21 yrs ago,10.0,crying,1
11,11,Sb123,"October 25, 2019",For Anxiety:,i have struggled with anxiety off and on over the years i tried ssris in the past and those never gave me much of any relief i got to a point where i was in a downward spiral of anxiety crazy thoughts wild mood swings uneasy digestive issues sleep issues etc i decided to give medicine another shot my doc prescribed me lamictal and now on 100mg i am much more stable i dont have the crazy intrusive thoughts as much and my perspective on life is much more positive it did not make me dull or any other negative side effect it just gradually allowed me to be myself again and enjoy life please do know that medication in general can absolutely help do not listen to outsiders who do not understand how you feel medication is a personal option that you should feel no judgment about if it helps you then thats all that matters it may take awhile to find the right medication for you but it is worth it never give up there is something that will help you,10.0,"anxiety, mood swings",1
12,12,,,Lamictal (lamotrigine) for Bipolar Disorder:,ive struggled undiagnosed with bipolar2 for years many times having it labeled and treated as depression prozac wellbutrin etc all of which helped the depression but made me manic the one time i was told it could be bipolar 2 at age 25 the diagnosis scared me the idea of being on medication for the rest of my life did too so i decided to go off of all meds and handle it on my own 7 years later after multiple tumultuous relationships tons of spent shopping and some extreme bouts of both depression and hypomania i finally started on this medication lamictal i have been on it for about 6 weeks and am up to 100mg and i finally know what normal feels like and its not racing thoughts 247 or snapping on loved ones at the drop of a hat almost no side effects ,9.0,"depression, hypomania",1
13,13,,,For Anxiety:,i have taken lamotrigine for years with no side effects it takes approximately 152 months for lamotrigine to take full effect side effects are typically avoided by starting at very low doses i started at 25 mg once a day and slowly increasing the dose over time taking higher doses too rapidly or without physician consultation increases risks of side effects and you shouldnt expect to see full results within a couple days or even a couple weeks i hope this helps someone feel less anxious about trying out this medication and feel more informed i am educated on this topic because im an md student,10.0,,0
14,14,JJ,"December 22, 2019",Lamictal (lamotrigine) for Bipolar Disorder:,ive struggled with bipolar ii since i was a teenager unfortunately it was misdiagnosed as depression until i was in my 60s as you can imagine ive been prescribed everything available beginning first with what were called tricyclics which were medications like mellaril thioridazine elavil amitriptyline to the ssris such as prozac zoloft lexapro celexa and several others i took other types of medications for depression or anxiety too many to mention all with varying and limited levels of success some were helpful for a time others not at all that was until i was diagnosed bipolar ii and prescribed lamictal this medication along with psychotherapy has had a profound effect on my life i have to say ive never felt better,10.0,"anxiety, depression",1
15,15,,,Lamictal (lamotrigine) for Bipolar Disorder:,when i started taking it i had the worst side effects dizziness diarrhea blured vision nausea some days i couldnt go to class i started with 25mg and went all the way to 150mg but it is really working ive been taking it for 4 months and i never been this stable in my life i feel good better than ever i underestimated the illness but medication is the key therapy helps a lot too,10.0,"dizziness, nausea",1
16,16,,,For Depression:,the first day on lamitrogine has been an absolute life changer i was having severe hopeless depression paired with anxiety my moods seemed to shift from one to another triggered by hormones or stress it developed into eating disorder over time untreated ive tried every ssri and off label blood pressure meds etc i always have them a good run and they always had a lot of side effects and made my original symptoms worse then after research i asked my psychiatrist for lamictal i had 0 side effects i started at a dose of 25mg for 2 weeks and am at the end of 2 weeks on 50mg i felt the difference by the second week of 25mg and even more at 50mg i have felt so hopeful and excited at times in perfectly healthy ways and depression and anxiety is all but gone i dont feel doped up at all just a better version of me than i have ever felt also unlike ssris this doesnt impact sex drive and if i get pregnant its safe love and plan to stay on it for a long time its worth it,10.0,"anxiety, depression, eating disorder, stress",1
17,17,,,For Depression:,lamictal has changed my life i have had medication resistant depression for over 30 years i am now 60 have been on every med out there only to keep from being suicidal at best was on abilify for 3 or 4 years with viibryd gained 30 lbs and cholesterol went sky high so as a last resort decided to try lamictal i am on 150mg and 30mg of viibryd it has totally changed my life i am no longer depressed at all my friends and family are amazed at the difference they see in me i am socializing with people and taking care of myself again i think i feel better than i did before being diagnosed with depression now i know we all react to meds differently but if you are having trouble finding something that works this is worth a try i have major depression not bipolar i say that because most things i read about using lamictal was to help with bipolar but it can also help as an add on to your antidepressant i thank god i found out about it,10.0,"depression, major depression",1
18,18,,,For Borderline Personality Disorder:,i was first on topamax for my borderline personality disorder which my body didnt agree with and almost shut my liver down i got wellbutrin xl 150mg which helped but made me super angry my doctor then added in lamictal 100mg starting from the lowest dose and gradually increasing and it cancelled out the anger they wellbutrin caused and the two work phenomenally well for me like a lot of people on here they say they felt the effects immediately i can vouch for that it put my brain into a zen state and i got my laid back nature back mind you this only worked for me along with seeing a therapist and working out constantly medication helps set the bar but you gotta do the work to get to where you want to be i believe in you,8.0,"anger, personality disorder",1
19,19,J,"March 2, 2021",For Anxiety:,i started on lamictal as i have bad mood swings depression severe anxiety and ocd type thoughts this medication was a life saver i thought i started at 25mg and noticed very positive changes my anxiety got better when i went to 375mg my anxiety stopped ocd thoughts stopped depression stopped i was so happy i thought i found the medication for me when i went up to 50 mg i got a small rash my anxiety and thoughts spiralled out of control my depression worsened i felt suicidal now i am trying to get off the medication im very sad has this happened to anyone else,4.0,"anxiety, depression, mood swings, rash",1
