,Unnamed: 0,Date,Star,Condition,Rating,adr,label
0,0,4/1/2022 8:16:30 AM,2 Stars,Rated  for Depression Report ,i woke up in so much pain after 23 days on lamotrigine at 25 mg allover body aches my low back and especially painful almost immobilizing were the areas i already experience daily pain from osteoarthritis i felt like id been beaten in my sleep on top of that pain sometimes i doubt my experience and judgments but this was undeniable and very unusual for me i took the pill for one more day and the pain was even worse so i stopped on the 5th day for the entire weekend on monday my doctor said this wasnt a common side effect and probably unrelated why im adding this review so giving it a good try i started again that day and hoped to narrow this down to the medicine it was slightly less painful but within 4 days i had a lot of pain again i talked to my doctor today and said maybe this rx triggers inflammation in my body so for what its worth lamotrigine didnt work for me in fact it made my life worse for those two weeks and with my mdddepression and complex trauma symptoms more trouble is the very last thing i need in the world i may or may not try another mood stabilizer in the future im wary to say the least,"inflammation, osteoarthritis, pain, trauma",1
1,1,4/1/2022 4:45:49 AM,5 Stars,Rated  for Bipolar II disorder Report ,this could be one of the best drugs ever created by man,,0
2,2,3/21/2022 10:51:45 AM,5 Stars,Rated  for Depression Report ,i was diagnosed with bipolar nos and i take this in conjunction with zoloft i have not felt this well since i was a little kid first two weeks i was extremely tired i adjusted i also experienced headaches during ovulation i lowered the dosage and it was resolved,,0
3,3,3/8/2022 12:30:36 AM,5 Stars,Rated  for Bipolar II disorder Report ,been on lamictal for a few months after being diagnosed with bipolar type 2 no side effects and has really helped,,0
4,4,3/6/2022 4:42:15 AM,1 Stars,Rated  for Depression Report ,so i was recommended to try this for depression for which i believe was wrongfully diagnosed as this whole thing started because of anxiety and panic attacks started the regular titration schedule got to 100mg then all hell broke loose in my mind i had severe suicidal ideations became obsessive over the meaning of life uncontrollable crying increased panic attacks and anxiety nightmares disassociation it was awful being a nurse i did some research and found these to be uncommon yet still possible side effects im working on titrating off of it which is awful too i had only been on it five weeks when this all occurred all i know is ive been told when this whole situation started for me that it was due to a lot going on and brought on by stress as ive never had issues with anxiety panic depression or other mental health ailments in the past 35 yo three months later ive been put on three different meds all with adverse effects this by far being the worst if it works for you thats wonderful and im glad it works if it doesnt im right there with you i cannot wait to have this medication out of my system,"anxiety, crying, depression, stress",1
5,5,8/7/2021 2:18:48 PM,4 Stars,Rated  for Epilepsy Report ,previously i was taking keppra and controllable but very aggressive thoughts toward others since i switched to lamotrigine my seizures are under control and i am driving again my sleep has not been effected no change in weight and the aggressive feelings are completely gone it has changed my life,,0
6,6,5/4/2021 11:29:14 PM,2 Stars,Rated  for Bipolar II disorder Report ,ive been on these for maybes ten years or over uk female i was quickly maxed up to 200mgtwo tablets a day and they worked for the first few years lamotrogine now has heightened my depression has made me lose all creativity and done something to my body as i come up negative for auto immune diseases like throid problems but i display all symptoms with negative blood results and i am free from contraception the extra depressive feelings obviously make me stay in the house i can get aggressive physically abusive psychotic basically all of the bad things about bi polar it has kept it has broken and burnt all bridges with any support i have but the psychaitrist will not change my medication after numerous requests because i have a job and have not killed myself yet i am very very scared to come off lamotrgine due to my body being on it for so long and my brain now feels numbed out that i may end up with seizures and memory probems i was perfectly fine before this so it was an off the record thing at the timestill is and i just wished i hadnt been on it for so long i am only taking it because my body is used to it it does nothing for my mental health,depression,1
7,7,4/11/2021 3:29:11 PM,4 Stars,Rated  for Borderline Personality Disorder Report ,have never medicated before but a recent suicidal episode led me to lamotrigineafter 7weeks im up to 100mg daily and feeling less suicidal than befoream due another increase and hope this will make things even better,,0
8,8,3/28/2021 4:09:48 PM,4 Stars,Rated  for Borderline Personality Disorder Report ,24yrs been on 200mg for 2 years now for bpdbd drastic change in my life moods less intense 910 improved but not fully gone considering increasing dose but not sure i still have horrible anxiety and jumpiness feels like i will tip over into mania any time very disconcerting but overall i have to say a miracle drug se when starting off drowsiness etc for a couple weeks normal please dont let it deter you other than that weird se i got period changes for a while but resolved wordfinding difficulty that was a weird one but its gone now too honestly overall an easy medication for me my worst fear is worse side effects or it stops working i pretty much depend on it entirely for a normal functional life,"anxiety, drowsiness, fear, mania",1
9,9,3/19/2021 2:53:34 AM,1 Stars,Rated  for Bipolar II disorder Report ,i started taking lamictal 4 weeks ago slowly increasing the dose weekly until i reached 100mg at this point i am having horrible migraines confusion whole body soreness and pain nausea always sleeping and never rested feeling like im desperate from everyone i also had an episode over the weekend where i stared off in space and dont remember parts of it my husband said i was jerking and laughing i was taken to the hospital and the doctor said it seems ive had a seizure and need an eeg test from a neurologist lamictal is the one and only change that has taken place in the past 4 weeks i am slowly coming off of it now im praying i can go back to my life without these horrible side effects,"nausea, pain",1
10,10,3/10/2021 11:02:52 AM,3 Stars,Rated  for Borderline Personality Disorder Report ,ive been on this crap since i was like 18 im 27 now and it doesnt work and has made things worse i increased my dosage to the max and have been feeling so sick and psychotic i didnt get any swelling but def have itching skin at times i pee a lot im exhausted all the time noises and sounds bother me i get sensory overload its supposed to help and maybe it does but i think its making my body shut down,swelling,1
11,11,2/8/2021 4:50:36 AM,3 Stars,Rated  for Bipolar I disorder Report ,i started lamictal 25mg two weeks ago and at day 15 i was told to go up to 50mg i woke up the next day with an ulcer on my bottom lip in the middle then throughout the day my mouth developed ulcers inside on my tongue cheeks and throat it felt like i ate a bunch of sour candy very raw feeling and i also felt like i was getting the flu i waited for a while and then i began experiencing itchy prickly skin on my face neck chest and upper arms i called the emergency line at my doctors office and they were very concerned told me to take benadryl immediately and stop taking the lamictal i am on my second day of benadryl and i can barely talk my mouth is so messed up i never thought i would get sjs but i really think its the beginning stages of it,ulcer,1
12,12,2/5/2021 6:06:16 AM,3 Stars,Rated  for Bipolar II disorder Report ,i had great success initiallymoods leveled out anxiety was reduced not so on edge all the time i finally found the right med for me i thought started on lamotrigine 25mg then 50mgday but after about 20 days everything spiraled out of control anxiety ramped up in the extreme i was suicidal and i often felt enraged over nothing i have never had anger issues i stopped taking it over the next 3 yrs i tried it 4 more times smaller dose larger dose i kept going back on it because i had just pleasant immediate results but every time in less than two weeks a spike of all my worst symptoms too bad i had great expectations,"anger, anxiety",1
13,13,2/1/2021 4:33:43 PM,5 Stars,Rated  for Depression Report ,i am manicdepressive and under psychiatric care for about 50 years recently i fell into a suicidal depression and got put on lamotrigine i take 200 mg per day i believe that it has helped me since i seem to be managing my life much better now my friends and family tell me i seem so much better at night i take a small dose of zopiclone which helps me fall asleep the combination seems to work well with virtually no sideeffects on a scale of 110 my mood is a 67 not suicidal anymore and not maniccrazy either i would recommend the drugs i take but consult with a good psychiatrist first definitely worth a try at least i can face the day now with no illeffects,"depression, fall",1
14,14,1/11/2021 8:50:48 AM,5 Stars,Rated  for Bipolar I disorder Report ,it saved my life,,0
15,15,12/31/2020 2:02:47 PM,3 Stars,Rated  for Borderline Personality Disorder Report ,this medication saved my life when i was 20 years old and i have been on it for almost 4 years now the only side effects i experience are related to memory loss i cannot stand it it seems minor compared to the other side effects but to me it is a big deal however i do understand that when it comes to medication you have to take the good with the bad aside from that this medication is a life saver if you are on a low dose and it is working stay on it in order to avoid side effects including cognitive difficulties,memory loss,1
16,16,12/23/2020 10:43:54 AM,5 Stars,Rated  for Generalized anxiety disorder (GAD) Report ,i was intolerant of several ssris and only partially tolerant of trintellix at small doses gabapentin and buspar didnt work i had excellent resolution of symptoms with low dose lamotrigene with no side effects for me a miracle drug it is worth noting it may take a trial of several drugs to find one that works with tolerable side effects,,0
17,17,12/17/2020 8:15:10 AM,1 Stars,Rated  for Bipolar II disorder Report ,i was prescribed lamictal for bipolar 2 after taking it for a couple of days i broke out in a horrible rash and starting vomiting er doctors told me that i am allergic and to stop i then began taking seriously i just want to say if a med isnt working for you or makes you sick tell your provider there are many other meds they can give you,"rash, vomiting",1
18,18,12/15/2020 7:50:18 AM,5 Stars,Rated  for Social phobia (Social anxiety disorder) Report ,this pill changed my life took away so much anxiety and depression ive tried many different anti depressants and none of them have worked some worked very short term but this pill gave me life and the serotonin i need if youre suffering from extreme social anxiety dont give up there is hope this pill really helps me stay calm and focused around others i take 200mg a night alone no other pills and the best part no side effects what so ever,"anxiety, depression",1
19,19,12/14/2020 8:07:48 PM,1 Stars,Rated  for Depression Report ,i took lamotrigine for 9 years off label for chronic depression i experienced bad side effects from the beginning but my psychiatrist encouraged me to keep taking it my memory suffered the most it was a nightmare finally getting off of it it has been five years now since getting off of it and my memory has never recovered fully lamotrigine is an evil medication it may work for some people but if youre one of those who it doesnt be prepared for a rough ride listen to your own body not your psychiatrist,"depression, nightmare",1
20,20,11/6/2020 1:55:25 PM,1 Stars,Rated  for Chronic fatigue syndrome (CFS; CFIDS; M.E.) Report ,made my ocd and intrusive thoughts so much worse and increased suicidality only lasted 4 days,,0
21,21,9/17/2020 9:08:16 PM,5 Stars,Rated  for Depression Report ,i was suffering from such terrible depression after blindsided by a cheating husband and divorce after only 6 months of being married i could not function im only 33 and i currently have a very prestigious position that i worked hard to get to and i needed some major assistance i consider this drug life changing i noticed a difference in my mood and emotions within days what prompted me to leave a review is that im experiencing terrible postnasal drip that makes me feel like something is caught in my throat i went to an ent to rule out everything else and he says there is a lot of drainage there with no cause he can see im almost positive its a result of this drug i wanted to see if anyone else encountered this and if they found any thing that helped its becoming a nuisance at work some days it is all day some days i dont have it at all overall if i had to decide to take the drug or not despite this side effect id say it is worth it because i think it saved my life,"depression, postnasal drip",1
22,22,5/27/2020 7:18:45 AM,1 Stars,Rated  for Bipolar II disorder Report ,bad memory loss and an increase in random body hairim off it now my memory and the hair situation are both improving fatigue and headaches though even tapering off slowly,"fatigue, memory loss",1
23,23,5/25/2020 6:50:02 AM,1 Stars,Rated  for Epilepsy Report ,umm yeah been taking this med off and on for the past 20 years and off and on because how horriblely it effects my mood and how easily agitated and aggressive it makes me sadly i can function better with seizures and at least i get a act like myself and do things and be able to sleep at night,,0
24,24,5/16/2020 12:35:34 AM,5 Stars,Rated  for Bipolar II disorder Report ,ive had depression since cognition i am nearly 56 years old ive burned through all sorts of antidepressants was recently postulated that i am on the bipolar ii spectrum on only 50 mg 2xdaily of lamictal i saw positive results in a month i was starting to sleep better the drug didnt wind me up unfortunately i am suzy side effect and tend to suffer the rarest kinds i have osteoarthritis and lamictal worsened my joint pain caused other joints to hurt that hadnt and made my muscles ache upon cessation the new pains subsided if you have inflammation watch out for this drug making things worse,"ache, depression, inflammation, osteoarthritis, pain",1
25,25,5/14/2020 10:45:56 PM,4 Stars,Rated  for Depression Report ,i had depression and anxiety and lamictal seemed to help as i took it unfortunately over the course of a year there were some side effects i started losing hair after a couple months which i thought was because of tying my hair in a bun at first but then even my leg hair and underarm hair stopped growing although that i didnt mind so much then after about half a year i had constipation and gas i started gaining a lot of weight it seemed like i was getting hyperthyroidism according the the tests it turned out to be lamictal at first my psych didnt think so but the lamictal seemed to be causing biotinvitamin b deficiency in me as soon as i stopped taking lamictal and took a biotin supplements my hair started growing back my digestion was no longer constipated and my tsh level went back to normal after about 46 months lamictal worked but unfortunately the side effects were too bad for me,"anxiety, constipation, depression, gas, hyperthyroidism",1
26,26,1/29/2020 7:01:57 AM,5 Stars,Rated  for Bipolar II disorder Report ,lamictal absolutely saved my life and i could see the results building steadily over time the biggest area of change was in my irritability which i saw dramatically decrease from near constant blinding rage to almost nonexistence 1 day of irritability every couple months my manic episodes are also noticeably decreased my depression has decreased the least but that is also because i have a secondary diagnosis of mdd which i do not treat with an antidepressant the only side effect is a little bit of persistent acne which i have not been able to counteract i highly recommend taking a gene test to see which psych meds are compatible with your body that is how i found lamictal and i feel like a completely different human being,"acne, depression, irritability, rage",1
27,27,1/18/2020 4:16:00 PM,2 Stars,Rated  for Bipolar II disorder Report ,had chronic painful ulcerslesions within the mouth which my psychiatrist is discounting even though this site states that this side effect necessitates immediate emergency intervention,,0
