Date,Time Taken,Condition,Review,Rating
"November 28, 2019",,Paracetamol (acetaminophen) for Fever:,"I rate it 5, I've had a very high fever and after taking paracetamol it only made it worse. That is why, they suggested me to take paracetamol every 4 hours, as a result, my fever is now gone but my stomach is suffering. I currently have stomach/intestinal disturbances due to paracetamol. This medicine is 50:50",5
"October 16, 2019",Taken for 1 to 2 years,Tylenol (acetaminophen) for Pain:,"In the early nineties I was taking Tylenol for severe headaches. We had first responders in our workplace that pushed me to larger strengths and doses. ""You're a big guy, you need it, you can take it.""
Don't listen.  Never go over the recommended dose for your weight,  It will permanently damage your liver.  
My liver transplant was Dec. 19, 1996.",
"September 12, 2020",Taken for 6 months to 1 year,Paracetamol (acetaminophen) for Muscle Pain:,"Paracetamol The only thing that works for me without any side effects, takes about 20 minutes to kick in, fantastic for muscle pain and anxiety attacks and insomnia, I take two 500mg tablets every 4 hours (four times a day), for two days then I'm okay.",10
"July 8, 2019",Taken for less than 1 month,Tylenol (acetaminophen) for Pain:,"It’s one of the most worthless medicines I know of. I have tried Tylenol on numerous occasions throughout my life for migraines, back pain, menstrual cramps, post surgical pain, arthritis pain because some doctor or friend has recommended it. Each time it did absolutely nothing for me. Aspirin is a better pain reliever. Now with severe chronic pain, my Doctor wants me to try it again. No thank you. I give it 1 star because I never suffered any side effects from it.",1
"January 1, 2019",Taken for 2 to 5 years,Paracetamol (acetaminophen) for Pain:,It is the ABSOLUTE WORST PAINKILLER to take when you have period pain. It does did not ease my period pain at all. I would not recommend it to anyone . DON'T TOUCH IT. I am very lucky now that I do not take Paracetamol anymore.,1
"May 31, 2019",Taken for less than 1 month,Tylenol (acetaminophen) for Pain:,"I had a sudden experience of lower back pain, to the point where it hurt to breathe, and I wasn't able to sit because it meant bending my back. I took 2 pills of the extra strength. After about 15-20 minutes I could breathe without crying, it was still extremely painful to sit, but after another 15 minutes or so 90% of the pain was completely gone. So thankful  for Tylenol extra strength!",10
"September 3, 2020",Taken for 10 years or more,Tylenol (acetaminophen) for Fever:,"Great if you have a fever. But if you need pain relief, This won't help. I found It does work better if you have a cup of coffee with it, Otherwise see your doctor for real pain relief. Never take more than the recommended dosage. It can destroy your liver.",5
"January 26, 2011",,Tylenol (acetaminophen) for Pain:,Only over the counter pain med I can take with Crohn's disease.  All other pain killers have some degree of aspirin in them.  For those with stomach diseases acetaminophen (Tylenol) is the only thing we can take.,9
"February 5, 2019",Taken for less than 1 month,For Sciatica:,"My doctor insisted I take acetaminophen in spite of me telling him it has never helped with any pain I have ever had, and surprise! It had no effect on my severe sciatica pain either.  I don't know why doctors keep prescribing it considering there are studies readily available to anyone who can read, that have proven that acetaminophen is no better than placebo when it comes to back pain relief (the Cochrane Reviews), AND  ""Analysis of national databases show that acetaminophen-associated overdoses account for about 50,000 emergency room visits and 25,000 hospitalizations yearly."" (Dr. Aric Hausknecht, a New York neurologist and pain management specialist.) 

My experience is that it doesn't work and I can read so I know it is ineffective period and is dangerous; and I am astonished and offended when a medical professional who should know better tells me to take it for any reason.",1
"April 11, 2018",Taken for 10 years or more,Tylenol (acetaminophen) for Pain:,"I have gotten migraines from childhood. I also am very active and sometimes suffer neck and shoulder pain resulting in yet another headache.
I have used tylenol for my entire adult life and I cannot even think of what life would've been without it. I have always gotten high fevers with no other symptoms when others get sick. Tylenol has helped me thru all of it. From migraines, to horrible monthly cramps. Crazy when I think about it...It allowed me to function normally through some of the worst moments of life. I am, thankfully, a perfectly healthy 51 yr old and 2 hrs ago I woke with a sickening headache from 3 days of hard yard work. All gone now. Got to thinking...I should say...""Thank you Tylenol.""",10
"October 13, 2009",,Tylenol (acetaminophen) for Pain:,"I was prescribed 1 gram (2 extra strength) by mouth every 4-6 hours for a severe tooth problem, cracked tooth in half, until I see my dentist on Friday. (It's Tuesday.) Does absolutely nothing for the pain. ",1
"September 11, 2010",,Paracetamol (acetaminophen) for Pain:,"I have found Tylenol and other equivalents to be relatively ineffective in reducing pain associated with my Degenerative Disk Disease (Neck Pain, Severe Headaches, Lower Back Pain).  I have had some success with tramadol coupled with muscle relaxants, Tylenol with codeine and Vicodin (5 and 7.5 mg).  I also had good results with Aleve, until I started to have stomach problems.",
