Date,Time Taken,Condition,Review,Rating
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I've tried almost all meds for depression/bipolar but no success. I started Lamictal 25mg about 4 weeks ago and I'm currently on 50mg per day. It has really lifted my depression. It's the best medication I have ever taken for bipolar. I have more energy, less irritable, less appetite and increased sexual desire. However, it has some side effects (insomnia, nausea, mild constipation and pains on my sides) which are all gradually fading away. I also take 40 mg Prozac per day. Lamictal is a wonder drug. I haven't reached the therapeutic level. I'm titrating slowly. I felt a great need to do this review to help others because other people reviews have helped me in the past. Good Luck and God bless.",8
,,Lamictal (lamotrigine) for Bipolar Disorder:,I have been on this drug Lamictal total time of 14 months. I've been able to drop my Bipolar  meds down from 4 different kinds to just lamictal only for four months now. My experience is one for the books. Diagnosed with bipolar I had tried so many different kinds of medications. My medicine cabinet looked like a freaking pharmacy. Now I am down to one drug a day! That drug is lamictal!!!! Literally my saving grace. All the psychiatrist I saw. All the different medication combinations I had tried only scratched the surface. My newest psychiatrist suggested this drug. I was skeptical because none of the other Drs I saw suggested it and I didn't know it existed. This drug is a miracle.... It has changed how I live. How I care for my kids. How I see the world. The best part is I'm me again.,9
,,Lamictal (lamotrigine) for Bipolar Disorder:,"Male, 33 years old. I've been on Lamictal for 4 months after diagnosed with cyclothymia. Started with 50 mg, now 100 mg once a day. Mood swings all my life, often irritable, easily became angry. Spent $$, got into debts massively, never worked at one place for more than a few months.
  Lucky to find the right psychiatrist who put me on Lamictal. In my country (Russia) not many docs are familiar with bipolar spectrum disorders treatment and even less prescribe Lamictal.
 After taking the first 50 mg everything changed immediately. I became calmer, more stable, feel much more comfortable in public places and in communication with people, more confident, more present, more relaxed. Before I had a feeling that everyone around is constantly looking at me and even judging, couldn't talk by phone if someone is near me. Although my highs are still a bit too high, my lows are 80 % better.  Surely, I'm going to continue taking Lamictal.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I had been empty, depressed doesn’t justify the way I was living my life. No matter how hard I tried, what medication I took. I couldn’t mom, House a MESS, relationships failing, Job on the line, alcohol being my go to.

I started lamictal about 2 months ago and haven’t had one day where I felt like I couldn’t make it through. I got a promotion, my laundry is done at all times, dishes washed, cooking dinner on the regular, I can get out of bed on Sundays which was a routine for years. 

Lamictal was my miracle for bipolar depression. Easy to say without it, I don’t know if I would be here.

Now I WANT to be here, I want to succeed, self develop. Started reading self help books, listening to motivational podcasts.

If you feel like there is nothing that will help you  I highly recommend taking a chance on lamictal.
After all, when you have bipolar depression, what do you really have to lose??

DO IT.",10
Kate,"June 4, 2020",For Anxiety:,"I never review meds but I feel like I’m doing a disservice but not sharing. SO PLEASE READ! I was prescribed lamotrigine at my lowest point. I was struggling with anxiety, panic attacks, depression and PMMD. I was facing constant intrusive thoughts about death and sadness.
I came home from the doctors after being prescribed and read these reviews and bawled my eyes out. I was so afraid of taking this medication. Yet, I needed something to help ASAP. 

I have now been taking lamotrigine for 3 months and my anxiety is much lower, my emotions are not out of control before my period and I have more peace of mind. 

I don’t have any bad side affects. My biggest recommendation is to start with a low dose (50mg) and after two weeks (100mg). I feel like taking more than this ups your chance of having a bad reaction. We are all different so there is no guarantee. Just know that this website is usual used if you have had a relatively bad experience so take that into consideration.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"I’ve taken this drug Lamictal for about 7 weeks now and guess what? My life has turned so positive! I am a way happier and stable human. I no longer lash out or get mad over any little thing that would trigger a manic stage. I’ve been able to deal with stress without  freaking out, literally can't believe it! I highly recommend this to anyone with bipolar!!!! Good luck and God bless",10
,,For Borderline Personality Disorder:,"I am a person that never writes reviews, however, if I can help just one person from feeling the way I used to feel—it’s beyond worth it. 
My entire life I felt different, as if I was experiencing the world entirely different than most everyone else—funny thing is, I actually was. After trying numerous medications for ADHD, and severe depression/anxiety, I was finally given the option of Lamictil as a last resort. And let me tell you, after being on it for two months I haven’t been this happy since I was a child.
To everyone suffering from BPD or Bipolar disorder, THIS STUFF WORKS! Please give it a try and you will feel the transformation after a month of two. There IS help and I pray that each and everyone of you likeminded people get the aid you need. Thanks to god, Lamictil, and my doctor for setting me free of the misery that was my life. God bless you all, much love.",10
CJ,"September 25, 2020",Lamictal (lamotrigine) for Bipolar Disorder:,"I was put on lamictal for Borderline Personality Disorder/PTSD/Anxiety/Major Depressive.  The only noticeable side effects for me were slight irritability and becoming more easily frustrated than usual in the beginning, along with drowsiness after taking the nightly dose. I can honestly say that after working out the kinks, this medication has changed my life. I have more energy, I sleep better, and I am able to let go of less than ideal situations instead of being consumed by them. I no longer default to self harm and suicidal ideation, and my thoughts are much less hyperbolic and more aware/rooted in reality. I cannot remember the last time I was this stable and happy. I have not experienced any rashes or physical changes other than my appetite slightly decreasing and losing a bit of weight. 150mg is definitely the sweet spot for me and I do not intend to increase my dose at this time. I would highly recommend this medication, especially if you are like me and have exhausted every other option.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"Lamictal has completely changed my life. I take it in conjunction with a low dose of abilify, and the combination has kept me from having manic/depressive for about a year straight now, something I never thought possible. At first I was just on abilify— a pretty high dose— and while it kept me free from hypomania, it didn’t really do much for the depression. Lamictal, on the other hand, has worked wonders in that respect. Very little side effects— I wake up nauseous but it fades after about an hour, and it’s definitely worth it. Other than that, no weight gain, and I believe it may have actually increased my previously nonexistent sex drive. The best part of lamictal is that I don’t feel flat or subdued. I’m still having the normal ups and downs of life, but for the first time, I feel pretty confident that they’re not bipolar related. It’s really been a miracle drug for me.",10
,,Lamictal (lamotrigine) for Bipolar Disorder:,"Ok, so I've been on several different antidepressants and antipsychotics to no avail. When my Doctor suggested lamictal I thought ok, here we go again..... well I just want to say I've been on 25mg for 2 weeks and just upped the dose to 50mg 2 days ago. I honestly feel so much better. She said it could take weeks, but it literally took about 5 days to notice a difference. My racing thoughts and deep depression are getting better daily. It's such a relief. I finally have some hope. I don't want to die every second of the day. The only other Medication I take is Ativan as needed. Don't give up! I can't believe this is actually working!!!",7
