Date,Time Taken,Condition,Review,Rating
"March 18, 2021",,Keppra (levetiracetam) for Seizures:,Seven years ago my neurologist put me on Keppra because nothing else had worked to date in controlling my seizures. I gained 100 lbs in a year and had anger blowups. I would not give this drug to an enemy.,1
"May 23, 2019",Taken for 2 to 5 years,Keppra (levetiracetam) for Seizures:,"over 2 years in now and Keppra is keeping my seizures away but the 2500mg a day has made me a different person for sure .
-don’t feel excited to socialize as much.
-feel fatigued a lot , can easily dose off if not doing anything that requires my attention.
-old memories can bring on strong emotions that normally wouldn’t before 
and memory is not nearly as strong as it was , constantly setting myself reminders for things i should easily remember.",7
"January 23, 2019",Taken for 1 to 6 months,Keppra (levetiracetam) for Seizures:,"This is the most horrible medication I have ever taken. My usual personality is calm, reasonable, optimistic, positive etc. Well not with this medication. My husband and I have been married for 43 years, we have had our ups and downs but never thought of divorce. With this medication my husband stood by me. What we went  through was uncontrollable everything, crying, screaming, unreasonable, and just plane hysteria. He was a saint, I on the other hand I was totally out of control and could not stop myself no matter how hard I tried.",1
"August 1, 2019",Taken for 6 months to 1 year,Keppra (levetiracetam) for Seizures:,"Absolutely horrible experience. I was prescribed this after having a breakthrough seizure as part of trying new meds. On Keppra my personality changed 100%. I was despondent, hated life, had no motivation and cried at the drop of a hat. Finally, I knew it was time to go to the doctor to transition off when I hit such a low low. Also started hearing voices. Never once did such dark thoughts occur to me until this-I imagine this is what it’s like to be possessed.",1
"March 16, 2021",Taken for less than 1 month,Keppra (levetiracetam) for Seizures:,"This drug is horrific and should not exist and any doctors who prescribe it/refuse to take their patients off of it when asked are just awful. My mum was put on this and within 2-3 days of starting it she went from being a happy relaxed person to having multiple panic attacks a day which continued in severity as the longer the drug was in her system, she also started having very negative thoughts eventually resulting in her giving up her will to fight her underlying disease (which she was actually improving a lot). She passed away 3.5 weeks after starting keppra.",1
"September 26, 2020",Taken for 10 years or more,Keppra (levetiracetam) for Epilepsy:,"When first put on keppra, things seemed to be fine. But over time, when I had my annual neuro appointment and I’d tell them of any seizures I’d had that year, they’d up the keppra dosage. And the more keppra I took, the more seizures I had. I didn’t realize that till later. At one point I was on 4000mg (?too much?) of the XR version daily. That’s when I figured that the keppra was the culprit to more frequent seizures. And the after effects of a seizure while on that dosage lasted for days. They were major depression, headache and minor after shocks like another seizure was going to happen. In the past three years I’m working my way slowly off this drug. Now no longer on the XR version, just regular immediate release pills. On 500mg a day. I have less seizures. And if I do, I recover from them within an hour or so. One more thing. On the Keppa XR, keppra rage was no joke. I’d be fine. The out of the blue, just all hateful and mad for no reason. Any little thing would set me off.",1
"November 20, 2013",,Keppra (levetiracetam) for Seizures:,"I had surgery for a benign brain tumor over 8 yrs. ago; Gamma Knife radiation surgery 3 yrs. ago. The Gamma Knife surgery left me with scar tissue that caused me to have my first partial seizure. This required me to remain on seizure medication, levetiracetam. 
To prevent recurrent seizures, I was on a dose of 1,000 mg./ 2x's day. I was on this dosage for over 2 yrs. No seizures, but side effects crept up slowly: bad memory loss, difficulty finding words, fatigue, weight gain. Then, the intolerable ones: deep depression, mood swings, crazy flip-out anger. It just kept getting worse, until I couldn't wait to get off of it! My doctor called it the ""Keppra Rage"". I guess this is well- known side effect that I could not tolerate.",4
"January 24, 2019",Taken for 1 to 2 years,Keppra (levetiracetam) for Seizures:,"I have been using Keppra now for over a year. I have had no side affects from it whatsoever, maybe occassionally my short term memory is not 100% but apart from that I am amazed at it. Compared to the drugs I was taking as a child Keppra has kept me seizure free for over a year now.",10
"November 19, 2014",Taken for less than 1 month,Keppra (levetiracetam) for Seizures:,I'm 25 had my first seizure at 24 and have now had my 4th seizure 11/11/14. I went against the doctor with taking medication as I had and EEG done and came up clear so thought it wouldn't be to serious. However now having 4 seizure I've started taking Keppra twice a day. I haven't been tired by the medication and still able to work well. However I'm starting to be early angered and annoyed and moody. What I would normally get swept under the carpet is now agitating me. I'm not enjoying it as I feel like being left alone and in my own space. ,
"May 12, 2017",Taken for 1 to 6 months,Keppra (levetiracetam) for Seizures:,"Although this drug has paused my seizure activity, I feel like a different person. The first month my mood swings were unreal and almost indescribable. I'd wake up so happy in the morning and be depressed by around 4-5pm. I was and still am fatigued all the time, and little things like walking up the stairs make me out of breath. I also let little things annoy me and unfortunately take it out on the people around me. I have lost 10 pounds since I've started this medication, I have no desire to eat even though I know my body needs food. I feel like Dory from Finding Nemo and it makes me embarrassed at times. My friends will tell me something and I'll completely forget what they said and ask them about it a few minutes later.",3
