Date,Time Taken,Condition,Review,Rating
"May 2, 2012",Taken for 10 years or more,Aleve (naproxen) for Sciatica:,"When I have sciatica pain in my hip I quickly eat something (protein bar often works), take two Aleve, then lay down on the floor and put my legs up on a chair. Sometimes I put an ice pack on the area also, and I lay there for 10-20 minutes and the pain almost always subsides. Then I make sure to stretch a bit so the pain doesn't return when the Aleve wears off. Aleve works GREAT when I'm in pain, but don't forget how vital it is to stretch and exercise also. ",10
"May 30, 2014",Taken for less than 1 month,Aleve (naproxen) for Sciatica:,"Unbelievable!  After suffering everyday with sciatica nerve pain, losing sleep, falling into depression, I tried one pill, Aleve. Nothing else I tried worked.  Aleve did exactly what my body needed to get relief from pain and inflammation.  I didn't want a narcotic, no. I will continue to take Aleve for a week to be sure that all traces of sciatica and inflammation are completely gone.",10
"October 7, 2013",,Aleve (naproxen) for Sciatica:,Unbelievable searing pain down the right side of my right leg always first thing in the morning after getting out of bed. I quickly take two Aleve with a glass of milk and wait for the pain to subside which usually takes about forty five minutes. I am then fine for the rest of the day. I also do yoga exercises later in the day which helps.,10
"May 8, 2021",Taken for 5 to 10 years,Aleve (naproxen) for Period Pain:,I’ve always had horrible period pain which would ruin my day and sometimes I couldn’t eat because the pain was too much. Aleve has always been my go to drug ever since I started my period at age 14. Once I pop 2 pills within minutes the pain is gone and I feel so much better! Would recommend it to anyone!,10
"March 8, 2020",Taken for 2 to 5 years,For Sciatica:,"26 years US army, then 10 years civilian working in middle east, active with kids camping travel. BUT upon retiring at 56 years young suddenly the sciatic nerve issue, pain, pain, pain and did I mention PAIN?? Doc started me on 1 pill a day of naproxen, and just like a bunch of the posts on here I was skeptical to the point of laughter................Guess what   after taking three days the pain subsided..... and after 6 months it was, and two year later still is, GONE...",8
"May 23, 2013",,"Aleve (naproxen) for Gout, Acute:","I suffer from gout in my feet periodically because I do not take preventative medicines. My last bout I tried Tylenol extra strength first and got no relief. I switched to Aleve gel caps and immediately felt the pain decrease. I am a believer and also an Aleveir, thanks a lot.",9
"June 12, 2010",,Aleve (naproxen) for Osteoarthritis:,"My hip and shoulder have hurt for years and I have always taken Bayer aspirin and I tried Aleve arthritis gelcap.  To my surprise the pain in my hip and shoulder went away for 8 hours.  The only thing I don't know is how long I could take the stuff, the bottle said do not take for longer than 10 days.  The warning label about it could cause stroke or heart attack did raise questions.",9
"May 15, 2014",Taken for less than 1 month,For Back Pain:,I had a herniated disc some 20 years ago and have never forgotten how effective Naproxen was at alleviating my condition. The results were astounding. Walked into a doctors surgery bent over almost double with severe sciatica. Prescribed Naproxen and took it immediately. Within 60 minutes I was walking like normal! I normally don't make comments on these kinds of thing but if it works even in a small number of people like it did me I am happy to share my experience. Try it nothing to lose no side effects I was aware of.,10
"May 6, 2014",,Naprosyn (naproxen) for Sciatica:,"This was my last chance to get relief,  my dr had advised that if we couldn't get the nerve to relax,  surgery was the next option.  The medication helped,  the only thing I would only take this at bed time.  This medication is very strong and makes you very sleepy, but it really does work. I only had to use it for a short time.  I will not take any thing longer than a month and only when I have to.",10
"September 26, 2016",,Aleve (naproxen) for Back Pain:,"Two days ago I was getting out of my car . I slipped on the gravel, twisting and slipping the lower discs in my back. For two days I haven't been able to move without excruciating pain . I have been crying for two days I've taken Advil, Tylenol, Motrin muscle relaxers. Just a few hours ago my friend cones over hands me two aleves and some warm water. Within 30minutes I'm not lying the pain is gone. Thank you aleve, i promise to pass the word of your greatness.",10
