Date,Time Taken,Condition,Review,Rating
"January 15, 2020",Taken for 10 years or more,Imitrex (sumatriptan) for Migraine:,"I found Imitrex works well if I take it the second I feel any of the migraine symptoms. If I wait even 20 minutes past that it'll usually make the headache worse. I suffer migraines with auras and cluster headaches. Like most everyone there is no way to function once a headache starts. Mine starts when the barometric pressure raises or lowers with cold fronts, hurricanes any weather condition that changes the barometric pressure. The pain is rough but the confusion and not able to function for sometimes days on end is the worst. Only advice I could give anyone with this drug is if you know your body well enough to know a migraine or cluster headache is starting take it immediately, don't wait! That is the only way it works for me. When it does work it is amazing! A wonderful tool to the Arsenal to fight these crippling headaches. Iif someone has never had a migraine they truly will never understand the pain we're going through.",8
"May 12, 2021",,Imitrex (sumatriptan) for Migraine:,"I've never had really migraines until about 9 months ago. I had a coworker who suffered with migraines and she introduced these to me when I had a horrible headache. She took the 100 mg, and when she gave me one to take, it knocked me out into the next week. I usually have horrible period migraines and ones that I'll get on occasion. This is the only thing that works for me except I take the 50 mg. There has been a couple of times they didn't work . .but that is minimal to the times it did work. I recommend to anyone who suffers with these because I don't know how'd function without them.",9
"May 31, 2021",,Imitrex (sumatriptan) for Migraine:,"I’ve gone to the emergency room with migraines many times because I was so ill.When I tried Imitrex, it was a lifesaver. I’ve only had a couple of migraines that didn’t respond to it. The only occasional side effects I’ve had with it are severe body aches. Still better than a migraine and vomiting. I probably get the body aches once out of every 30 times that I take the Imitrex. So if I have to go to bed once out of every 30 times for a migraine versus every single time, I’ll take it. I suffered debilitating migraines for years with little to no relief. Please stick to YOUR experience and not your opinion when reviewing a drug. Your experience is YOURS and it’s very short sighted to make a general statement that it should be taken off the market or that people shouldn’t take it when it’s been such a positive experience in my life and many other’s. I missed out on a lot of things with my daughters because of migraines before imitrex. It works wonders for millions.",10
"July 3, 2019",Taken for less than 1 month,Imitrex (sumatriptan) for Migraine:,"Worst experience of my life! Started feeling jaw pain, shoulder pain, nausea, heart racing and the worst was tingly/numbing sensation in my arms and legs. I felt like I was going to die. Did not help my migraine at all. This should be taken off the market.",1
"October 30, 2019",Taken for 2 to 5 years,Imitrex (sumatriptan) for Migraine:,"I couldn't live without this little pill. Imitrex/sumatriptan is a miracle drug afaik (as far as I know).  It knocks out my crippling full-body migraines every time.  So many women and some men don't even know it exists, which is a cruel twist of fate.  It should be available OTC without a prescription Imho.",10
"May 10, 2019",,For Migraine:,"Sumatriptan is a VERY dangerous drug. Prescribed 100mg  when required for migraines. I took one, and immediately I began to pour sweat, muscle in my neck and upper shoulders ached so bad it felt like I was withdrawing from a powerful opiate. Complete panic attack as well. I almost went to the ER, but stayed home and agonized thru it for 5 hours until the effects were bearable. Scariest drug I've ever taken.  PLEASE use extreme caution, I hope no one ever goes thru what I did.",1
"September 30, 2019",,Imitrex (sumatriptan) for Migraine:,"Do not take this medication. Good number of patients with severe headaches may need special type of MRI to detect possible aneurysm. If patient has aneurysm and take Imitrex then they are at high risk of causing rupture in aneurysm. I had stroke and undiagnosed aneurysm was diagnosed at the time of stroke. On the date of stroke I had severe headaches and I according to the doctor if I had ended up taking Imitrex, I would not have survived, because of aneurysm. The risk factors are not disclosed precisely by manufacturers. Please stay away from that medication and take special MRI to rule out aneurysm.",1
"August 15, 2019",Taken for less than 1 month,Imitrex (sumatriptan) for Migraine:,"Okay so I’ve been suffering from horrible migraines daily, so bad that I’m stuck in bed in horrible pain. I’m  nauseous & depressed & I have no appetite .After being prescribed the Imitrex I took it as soon as I felt the migraine come on. About 30 minutes in I started to feel my neck and throat feeling tight and my whole head have this burning sensation. I started to panic a little. Then an hour passed and I’m full blown in pain all over my body, I’m talking aching so bad it felt like I had the worst flu in history ... but my migraine was gone . Yes it took care of my migraine but were the body aches that lasted almost the whole day worth it ? I don’t think so ",3
"June 11, 2021",,Imitrex (sumatriptan) for Migraine:,"I took Imitrex, for many years to knock out migraine headaches.  However, After taking for 15 years, I was getting rebound headaches. I was warned about this by the pharmacist and doctors but dismissed their concerns because nothing else worked. I realized other pain relievers could never touch any headache pain; the only way to take away headache pain was with Imitrex, migraine or not.  I struggled with tingling in my limbs and extreme sensitivity.  I finally had a wake up call when I passed out, ended up in the ER (not related to Imitrex, I don’t think) and finally went to a chiropractor who helped me get the inflammation out of my neck and shoulders through needling.  I have not had a migraine headache or a headache that a pain reliever wouldn’t work on for a year and a half. I am no longer captive to Imitrex and its side effects. I believe once on Imitrex long term, rebound headaches will occur. I am so glad I am free from the bondage.",5
"March 28, 2019",Taken for 5 to 10 years,Imitrex (sumatriptan) for Migraine:,"I wanted to share a positive experience here. I've been a migraine sufferer since 17 and I am now 24. I am one of the lucky ones who found imitrex to work first try back then, and continues to take it to this day. This drug is a miracle for me. I admit that I have had to bump my doses from 50mg to 100mg, but it still works the same. I am also lucky that I only need it once a month around the  start of my period, however when I was younger I used to need them 5 times a month or so. Anyway, I just take one and in about 45-60 minutes the pain and nausea start to get better. It usually takes 90 minutes for them to be fully gone. I do sometimes get a feeling similar to whiplash (stiff neck and shoulders) and sore scalp but the side effects are far better than a migraine. My migraines stay away and I never have to take another pill, until the next month. I'm very thankful for this medicine.",9
"February 24, 2014",,Imitrex (sumatriptan) for Migraine:,"I come from a family where everyone has terrible migraines. When I started getting them at age 21, I resorted to taking loads of Tylenol with Pesudophedrine to ""mask"" the pain, which took a heavy toll on my liver.  Someone suggested that I look into the Triptan family of migraine medication. After going through a few different ones, I found Imitrex to be an absolute life-saver.  Whenever I feel one coming, I take 50mg and the migraine usually disappears within 30 minutes. If I wait a few hours to take it, the response time could be more like 90 minutes. With 10-15 migraines a month, Imitrex is essentially the only thing that allows me to function. I have not seen any real side effects.",10
"June 26, 2017",,Imitrex (sumatriptan) for Migraine:,"I've been experiencing migraines for about 3 years now. The pain is always on one side of my head and is completely debilitating. I used to have to take a bunch of Ibuprofen and sleep in a cool dark room until it went away which took forever. Finally, I was introduced to this medicine. I took it a few hours into my migraine and the pain was gone within 15 minutes. The medicine made me feel a little weird, like my senses were overly receptive and my skin was a bit tingly. These temporary symptoms are NOTHING compared to the migraine, I've learned to like these odd side effects because that's how I know my migraine is leaving. This is a miracle drug and over the past year I've been taking it, it's never failed to relieve the pain.",10
"November 26, 2019",Taken for 5 to 10 years,For Migraine:,"Used to take these sumatriptan every time I had a migraine and aura 100mg and everything was fine. 
A few days ago I felt symptoms coming on and took one. Worst experience of my life. 
Severe nausea, diarrhoea, worsening of headache, chest pains, numb pain in left arm, muscle clenching involuntarily, Jaw pain, severe anxiety. Ended up in ER crying and feeling like I was high on drugs. 
Days later I do not feel myself I feel anxious, panicky and down in my mood. Please be careful these drugs are NOT safe for everyone despite me having taken them many times before. I will not ever take one again.",1
